Release Date,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
18-Apr-14,2 States,LW,Romance,36,104,8576361,26622,2527
4-Jan-13,Table No. 21,N,Thriller ,10,12,1087320,1129,137
18-Jul-14,Amit Sahni Ki List,N,Comedy,10,4,572336,586,54
4-Jan-13,Rajdhani Express,N, Drama ,7,0.35,42626,86,19
4-Jul-14,Bobby Jasoos,N,Comedy,18,10.8,3113427,4512,1224
30-May-14,Citylights,HS, Drama ,7,35,1076591,1806,84
19-Sep-14,Daawat-E-Ishq,N,Comedy,30,24.6,3905050,8315,1373
11-Jan-13,Matru Ki Bijlee Ka Mandola,N,Comedy,33,40,2435283,4326,647
10-Jan-14,Dedh Ishqiya,LW,Comedy,31,27,2333067,2436,591
11-Jan-13,Gangoobai,N, Drama ,2,0.01,4354,1,1
28-Mar-14,Dishkiyaoon,N,Action ,28,6,2397647,3308,465
18-Jan-13,Inkaar,N,Romance,5,10.25,1077723,897,114
27-Jun-14,Ek Villain,HS,Romance,35,105.5,4518748,13558,1094
18-Jan-13,Mumbai Mirror,N,Action ,4,1.8,235767,192,164
8-Aug-14,Entertainment,N,Comedy,60,163,6336058,20472,2843
18-Jan-13,Bandook,N,Action,4,0.09,28391,8,14
25-Jan-13,Race 2,LW,Thriller ,60,162,7641333,12617,2138
6-Jun-14,Filmistaan,HS,Comedy,10,6,989096,1608,173
12-Sep-14,Finding Fanny,N,Comedy,15,58.9,6144142,13013,2746
13-Jun-14,Fugly,HS,Comedy,10,12.6,2343109,2963,556
1-Feb-13,David,N,Thriller ,10,3.65,839270,1542,95
7-Mar-14,Gulaab Gang,N,Action ,27,14.3,4687259,13219,1605
14-Feb-14,Gunday,N,Action,50,76.7,3503887,8383,1419
2-Oct-14,Haider,FS, Drama ,24,69,7048104,23590,2443
21-Nov-14,Happy Ending,N,Romance,48,21.5,5192338,6928,1120
8-Feb-13,Special 26,N, Drama ,42,103,1829417,6248,568
24-Oct-14,Happy New Year,LW, Drama ,125,383,6395202,37585,10269
8-Feb-13,ABCD _ Any Body Can Dance,N, Drama ,12,44,4042091,10609,788
18-Jul-14,Hate Story 2,N,Thriller,12,27.16,13798789,15708,5226
9-May-14,Hawaa Hawaai,HS, Drama ,11,10,764725,1377,94
7-Feb-14,Heartless,N,Thriller,12,1.5,4823892,5797,227
15-Feb-13,Murder 3,FS,Thriller,12,25,2249055,1879,747
23-May-14,Heropanti,HS,Romance,21,65,4005695,8189,1814
22-Feb-13,Kai Po Che!,N, Drama ,30,62.2,1888754,5686,512
21-Feb-14,Highway,N, Drama ,30,27.25,3043012,9100,971
22-Feb-13,Zilla Ghaziabad,N,Action,36,16,1551786,1753,619
6-Jun-14,Holiday,HS,Action,50,129,6841635,14182,1997
11-Jul-14,Humpty Sharma Ki Dulhania,N,Romance,20,130,6604595,14535,2208
1-Mar-13,The Attacks of 26/11,N,Thriller,30,32,1041892,1911,344
20-Jun-14,Humshakals,HS,Comedy,75,63.7,6280868,1,1
8-Mar-13,"Saheb, Biwi Aur Gangster Returns",FS, Drama ,15,22,1176596,1037,189
24-Jan-14,Jai Ho,N,Action,120,111,868743,2783,404
19-Sep-14,Khoobsurat,N,Romance,12,39.4,5454349,12548,2038
25-Jul-14,Kick,N,Action,100,377,18986221,101275,10066
15-Mar-13,3G,N,Thriller,5,5.82,1200152,1385,345
14-Nov-14,Kill Dil,N,Romance,35,36,2375050,4358,555
15-Mar-13,Mere Dad Ki Maruti,N,Comedy,5,11,569711,1226,133
15-Mar-13,Jolly LLB,N,Comedy,10,32.7,1741424,3024,181
9-May-14,Koyelaanchal,HS,Action,8,2,591838,347,31
2-May-14,Kya Dilli Kya Lahore,HS, Drama ,7,0.5,492344,2018,64
4-Jul-14,Lekar Hum Deewana Dil,N,Romance,16,2.5,3998331,2307,497
22-Mar-13,Aatma,N,Thriller,8,8.78,841891,997,306
4-Apr-14,Main Tera Hero,LW,Comedy,40,55,4903941,12657,2139
